"","Country/Region","date_time","total_country_cases","new_cases","days_outbreak","min","q25","median","q75","max"
"1","US",2020-03-03,118,20,1,101,107.5,114,132.5,548
"2","US",2020-03-04,149,31,2,103,129,149,193,643
"3","US",2020-03-05,217,68,3,108,154.5,194,244.25,920
"4","US",2020-03-06,262,45,4,110,187,227,288,1406
"5","US",2020-03-07,402,140,5,110,212,297,399,2075
"6","US",2020-03-08,518,116,6,117,285,439,518,2877
"7","US",2020-03-09,583,65,7,130,360.5,543,774.75,5509
"8","US",2020-03-10,959,376,8,138,454,806,1040,6087
"9","US",2020-03-11,1281,322,9,150,677,1054,1265,8141
"10","US",2020-03-12,1663,382,10,150,954,1332,2034.5,9802
"11","US",2020-03-13,2179,516,11,160,1113.5,1777,2286.75,11891
"12","US",2020-03-14,2727,548,12,178,1243,2078,3858,16630
"13","US",2020-03-15,3499,772,13,178,1486,2700,4636,19716
"14","US",2020-03-16,4632,1133,14,200,2642,4585,5883,23707
"15","US",2020-03-17,6421,1789,15,212,2607,6088,8187.5,27440
"16","US",2020-03-18,7783,1362,16,226,3642,7272,9623.5,30587
